taxa	BL1	BL2	K014A	K03L	K05L	NHM019	NHM026	NHM027	NHM050	NHM489	NHM898	NHM918	NHM928	OX10	OX11	OX13	OX15	OX16	OX4	OX5	OX8	T08A	T09A
Aspergillus nidulans	0	0	7	0	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus pseudoglaucus	0	0	4	0	0	0	0	0	6	6	5	0	4	0	0	0	0	0	4	5	3	0	0
Burkholderia cenocepacia	2	2	0	0	2	0	4	2	2	2	2	2	2	2	2	2	0	0	2	2	2	0	0
Burkholderia cepacia	2	4	0	0	2	0	4	2	2	2	2	2	4	2	2	2	0	0	2	4	2	0	0
Burkholderia contaminans	2	4	0	0	0	0	4	2	1	2	2	2	4	2	2	0	0	0	2	2	2	0	0
Burkholderia gladioli	2	2	0	0	2	0	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	0	0
Burkholderia glumae	2	2	0	0	2	0	2	2	1	2	2	3	2	2	2	0	0	0	2	2	2	0	0
Burkholderia lata	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Burkholderia multivorans	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	0
Burkholderia oklahomensis	2	2	0	0	0	0	4	2	0	2	4	2	4	2	2	0	0	0	2	4	2	0	0
Burkholderia plantarii	2	2	0	0	2	0	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	0	0
Burkholderia pseudomallei	2	2	0	0	2	0	3	2	2	2	2	2	4	2	2	0	0	0	2	2	2	0	0
Burkholderia stabilis	2	2	0	0	4	0	2	2	0	2	2	2	2	2	2	0	0	0	2	2	2	0	0
Burkholderia thailandensis	2	2	0	0	2	0	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	0	0
Burkholderia ubonensis	2	4	0	0	2	2	2	4	2	2	4	2	4	4	4	2	0	0	4	4	2	0	0
Burkholderia vietnamiensis	4	4	0	0	0	0	4	4	0	4	4	4	4	4	4	0	0	0	4	4	4	0	0
Cupriavidus metallidurans	3	5	0	0	0	0	5	2	2	2	5	2	4	3	2	3	0	0	3	5	2	0	0
Cutibacterium acnes	5	5	4	6	4	3	5	4	2	5	5	3	5	4	4	3	0	5	4	5	4	4	5
Gordonia bronchialis	4	5	0	2	0	2	3	3	0	0	3	0	5	3	0	0	0	0	3	4	4	0	0
Malassezia restricta	3	0	0	3	0	0	4	0	0	0	5	0	4	0	0	0	0	3	3	0	0	0	0
Moraxella osloensis	4	4	3	4	2	3	5	3	0	0	4	3	4	4	2	0	0	0	4	4	4	4	0
Pantoea agglomerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0
Paraburkholderia caribensis	5	4	0	0	4	0	4	4	0	0	4	0	4	0	3	0	0	0	0	4	0	0	0
Paraburkholderia hospita	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Paracoccus yeei	0	4	0	3	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0
Pseudomonas aeruginosa	4	4	0	0	0	0	4	4	0	0	4	0	4	0	4	0	0	0	0	4	0	0	0
Ralstonia pickettii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
Ralstonia solanacearum	4	2	0	0	2	0	2	2	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0
Saccharomyces cerevisiae	4	0	0	0	0	0	0	3	0	0	5	0	5	0	0	0	0	0	4	0	0	0	0
Spiroplasma ixodetis	0	0	0	7	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wolbachia pipientis	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	8	0
